Example,DA,Sub_Category
turn down the washroom temperature,d,d
go get me my socks,d,d
add perfect sense part i to my women of classical list,d,d
play the wizard and i on zvooq,d,d
please add this track by paul mcguigan to the deep house playlist,d,d
add this album to my playlist titled underground hits,d,d
set an alarm 40 minutes from now ,d,d
rate the my beloved world saga a one,d,d
tell her i need her right now,d,d
please help me retrieve my email address,d,d
add abacab to beryl s party on fridays playlist,d,d
start up my nostalgic playlist,d,d
please give me an update on the status of the claim i filed,d,d
decrease the heating in the washroom,d,d
play the top melody from artist maakii,d,d
book a table for 2 at a restaurant in follett,d,d
find a tv show called zen the music of fred katz,d,d
book a restaurant in french southern territories on dec the fifth 2026 for two,d,d
search for police women of cincinnati,d,d
give me the movie schedule for the great escape theatres,d,d
please find me the projekt the new face of goth,d,d
repeat that again,d,d
tell me your phone number,d,d
book a spot for me and my sister at a restaurant that has clafoutis,d,d
play within you without you by distance on zvooq,d,d
read me the last email from stefan and oil change,d,d
dont forget to change your oil,d,d
add this artist to my postgrunge playlist,d,d
book a table for nine people at a brasserie on jan 16 2034,d,d
write an email to austin saying youre the best,d,d
rate the demolished man a five,d,d
add songs tune in reggae infusions,d,d
rate this novel 1 of 6,d,d
hey play some music in hip hop,d,d
get me the trailer of good morning sunshine,d,d
get me some music,d,d
please help me to get information about ridesharing insurance,d,d
book a restaurant in palestine for 8 people at 9 am,d,d
rate this novel a 3,d,d
play coldplay album,d,d
play jawad ahmad,d,d
tell me important news today,d,d
find a definition,d,d
talk some stuff about yourself,d,d
add this tune to my weekend playlist,d,d
call a meeting with the employee to create an action plan to outline the needed steps to performance improvement and followthrough,d,d
please play something on iheart from artist ari gold last album,d,d
book a table at a tea house in 21 hours in northern mariana islands,d,d
bring my socks,d,d
turn down the heat in the washroom,d,d
rate the chronicle son of the tree with four of 6 points,d,d
play dj cameo on itunes,d,d
find the meaning,d,d
show me movies in the area,d,d
find a sturdy tree,d,d
play have you met miss jones by nicole from google music,d,d
add mr j medeiros to my women of country playlist,d,d
play music from the album evolution of a man by joey ramone,d,d
alexa read the night before christmas,d,d
show me restaurants near my hotel,d,d
add farhad darya songs in virales de siempre,d,d
show me painting exhibition in bay area,d,d
change the lightbulbs,d,d
add name me  the rhythm to my chill out music,d,d
give waiting for the mahatma 5 out of 6 points,d,d
book at table at forest av restaurant closeby for 2 1 second from now,d,d
cancel my 7am alarm,d,d
book a reservation for two at mickies dairy bar in weedsport,d,d
give this current novel a three,d,d
play track music from peter finestone on netflix sort by newest,d,d
book tea at the hamburger wagon for 3 vickie reed melody and i in georgia,d,d
hi play something by red hot chili peppers,d,d
turn off the lights,d,d
add tune digster reggae,d,d
remove my wife as a driver for my new car,d,d
play some 2011 chant music new first by shaggy,d,d
please tell me the email address for your billing department,d,d
please tell me the forecast for guineabissau,d,d
add this john tesh tune to the friendesemana playlist,d,d
play new teo macero,d,d
pull up sweeney todd  il diabolico barbiere di fleet street,d,d
assistant name open notes,d,d
add slimm cutta calhoun to my this is prince playlist,d,d
give two out of 6 to current book,d,d
alexa play some music,d,d
assistant name buy more diapers,d,d
please close the door,d,d
play walking list,d,d
search for appalachian journey,d,d
tell me the status of my claim from yesterday,d,d
put this tripp eisen song on canta en la ducha,d,d
list films at pacific theatres,d,d
play a podcast from my library,d,d
turn down the bathroom temperature,d,d
bring me some juice,d,d
add event for this evening meeting with jake,d,d
check in a taxi for booking,d,d
play subconscious lobotomy from jennifer paull,d,d
switch off main light,d,d
use netflix to play music,d,d
she me the movie times,d,d
please confirm my payment,d,d
play pop 2017 picks,d,d
play my melodious playlist,d,d
assistant name add carrots to my cart,d,d
remove the alarm,d,d
please advise how to update the name on my life insurance policy,d,d
tell me about my health insurance,d,d
email to pawel regarding latest news,d,d
add richard mcnamara newest song to the just smile playlist,d,d
alexa open the christmas radio,d,d
open zvooq and play the best songs from device,d,d
tell me interesting events around,d,d
play a track by deeyah khan,d,d
search for trailer jazz impressions of the u s a,d,d
olly add new email to anna,d,d
send mail to bubbles,d,d
please go on reading,d,d
add cj snare to my indie mim playlist,d,d
turn off the washroom lights,d,d
tune in some radio,d,d
play sugar baby by frank beard,d,d
go get me some juice,d,d
please look up the tv show vanity,d,d
please give me an updated list of discounts,d,d
hey siri set the phasers to kill,d,d
find the schedule at star theatres,d,d
search news about a celebrity,d,d
remind me to contact old friends that i have not talked with in 6 months before they pass,d,d
play chant by nigger kojak on itunes,d,d
hey siri add this to my playlist,d,d
check for all the movie theater prices and availability for a newly released movie in my loicatoion,d,d
setup an automatic life insurance payment,d,d
play a melody from elmer bernstein,d,d
please get me the welcome to the rileys game,d,d
book a reservation for a bar with a spa nearby id,d,d
add luiza possi to my bachelor party playlist,d,d
give a four rating to a world apart,d,d
find movie times for nine pm,d,d
tell me the weather forecast one year from now in kulpsville togo,d,d
rate the 8week cholesterol cure three out of 6,d,d
find a movie house for kickboxer 5 n redemption,d,d
play the song memories are my only witness,d,d
find me the novel with the name to lose my life n,d,d
please check the movie schedule,d,d
play top 20,d,d
add song to my wild country playlist,d,d
please find me the movies playing nearby,d,d
change language,d,d
siri turn bathroom lights on,d,d
fold the laundry,d,d
dim the lights,d,d
please give the name of the person who is handling the claim,d,d
decrease the temperature in the bedroom,d,d
if this is coffee please bring me some tea but if this is tea please bring me some coffee,d,d
show the animated movies playing in the neighbourhood,d,d
please help me set up an online account,d,d
just do it,d,d
switch off the washroom lights,d,d
rate this textbook four points,d,d
please give me my proof of insurance,d,d
give the current book a zero of 6,d,d
tell me the fax number for my claim estimate,d,d
close the door please,d,d
add a track to jazzy dinner,d,d
switch off lights,d,d
give this novel 5 stars,d,d
tell me the news,d,d
turn the bedroom heat down,d,d
rate the children of niobe 1 out of 6 points,d,d
put hampartsoum limondjian in running to rock 170 to 190 bpm,d,d
add meeting with all employees on march 20 at 9 am,d,d
add album to my classical essentials playlist,d,d
give the current textbook a rating of five,d,d
give me the schedule for animated movies at the nearest cinema,d,d
please search for mary,d,d
add armand van helden to my black sabbath the ozzy years playlist,d,d
play a popular chant by brian epstein,d,d
add hemanta kumar mukhopadhyay album in funky jams,d,d
give the current album a four,d,d
add these documents to the things i need to travel with,d,d
find a television show called sensation comics,d,d
add this artist to my electronic bliss playlist,d,d
find the movie times at harkins theatres,d,d
remove lienholder now,d,d
play the top music from the railway children off last fm,d,d
find the schedule for movies at the megaplex theatres,d,d
ana set rock paper scissors lizard spock,d,d
find a movie schedule in the neighborhood for animated movies,d,d
try to skip the first step,d,d
add matthew helders artist in showstopper being mary jane,d,d
find the movie schedule for animated movies around here,d,d
play music from 1960,d,d
play some music,d,d
add sarah vaughan to the spa treatment playlist,d,d
play movement by duane allman,d,d
tell me international news,d,d
book a spot for 2 at a restaurant in mayotte at 0613 am,d,d
vacuum the kitchen,d,d
rate the mystery of the tolling bell series 4 stars,d,d
add rak biszewilo to my playlist named jazz,d,d
give wilco learning how to die a rating of four points,d,d
show fog conditions at 7 am in nh,d,d
up the volume the sound is too low,d,d
season the cast iron pan,d,d
rate the current novel four of 6 stars,d,d
give 4 out of 6 stars to this textbook,d,d
make a taxi booking in uber,d,d
find wxhexeditor,d,d
wake me up at 9am on friday,d,d
assistant name take me upstairs,d,d
alexa enter jordan,d,d
get me my socks,d,d
alexa turn down the volume on the fire tv,d,d
add this tune to my sleepify playlist,d,d
find me a table at a delicatessen in urbanette that serves rabbit pie,d,d
book a pub with fisn n chips in timberville,d,d
book a reservation for an osteria restaurant for 4 people on november 4,d,d
open itunes and play ben burnley ready to die,d,d
please play good music by will oldham,d,d
play the top20 nawang khechog soundtrack,d,d
increase the sound volume,d,d
send email to my brother,d,d
rate the masks of time zero of 6 stars,d,d
play my playlist tgif on itunes,d,d
play jeff pilson on youtube,d,d
play s t r e e t d a d from hiromitsu agatsuma through pandora,d,d
give 4 stars to this essay,d,d
make a room darker,d,d
find sappho,d,d
add nana tanimura to a sudden rainstorm,d,d
please let me know the positions which are having vacancies for applying,d,d
book a table in fleetwood at a nearby deli,d,d
rate the princess mouse a tale of finland one of 6,d,d
explain it to me,d,d
find doggy day school an album,d,d
then pour the water into a cup,d,d
play a top symphony from the fourties,d,d
search for the adventures of cookie  cream,d,d
add falling stars to my intense studying,d,d
turn up the heat in the kitchen,d,d
take that pie out of the oven,d,d
book a restaurant on june the fifth in cavour,d,d
remind me again how to find the monthly premium that is due on each of my cars i owe  for  carshow does that break down,d,d
give me weather condition of manhattan,d,d
update me on latest news,d,d
please give me a copy of insurance declaration page,d,d
play music by christian bautista,d,d
book a restaurant for jul 27,d,d
play daft punk,d,d
please get me the dead soul saga,d,d
add the tune to my chill hits playlist,d,d
turn the lights off in the kitchen,d,d
show me movie times for animated movies playing three hours from now in the neighbourhood,d,d
show movie schedules of film nearby,d,d
allow a different language,d,d
book a table for 2 in gleed,d,d
tell me the weather in shanghai,d,d
clap,d,d
go feed the cat,d,d
add your comments to the document,d,d
play me a song by michael diamond,d,d
use a referral service,d,d
find the best man holiday saga,d,d
switch on the green light light name,d,d
search for the game difficult loves,d,d
turn the temperature up in the washroom,d,d
please update my payment process,d,d
add this track to the sin ti playlist,d,d
turn on last fm,d,d
add this album to my forever country playlist,d,d
give five out of 6 to this novel,d,d
give me the latest sports news,d,d
put this track on musica espanola 2017,d,d
rate gotans war a one,d,d
play a nirvana playlist,d,d
please cancel my online billing,d,d
lights on in the bathroom,d,d
add something by ritchie valens to my playlist virales de siempre,d,d
ana please increase the kitchen heat,d,d
book reservations to a cafeteria in brockway colorado that serves thai food for six people,d,d
hello niri remind me to wash my sheets,d,d
switch on the lamp,d,d
write in irish,d,d
turn sound up,d,d
book the atomic cafe for ten people,d,d
okay google assistant next chapter,d,d
add this tune to dorthy s 80 s party playlist,d,d
give the lost world 2 points,d,d
show me my meetings this friday,d,d
show me the photograph johnny cash the complete columbia album collection,d,d
play the song test,d,d
give me that now,d,d
add artist danny carey to my classic jazz singers playlist,d,d
rate this novel 0 of 6 stars,d,d
turn off garage light,d,d
add the artist mike to the sexy as folk playlist,d,d
tell me the deductible on my auto policy,d,d
play some david bowie ,d,d
show me the movie operetta for the theatre organ,d,d
play michael jackson from my playlist,d,d
give the current novel two stars,d,d
rate the current novel five out of 6 stars,d,d
play rap album one by gene vincent,d,d
play me a song by the dixie chicks,d,d
book a spot for kelli jean and i at a pub at elevenses,d,d
email chelsea,d,d
rate the current novel a 2,d,d
play nice in the sandbox,d,d
show me southern theatres movie times,d,d
find a video game called family dog,d,d
play something by mustard,d,d
put this tune on my your favorite coffeehouse playlist,d,d
rate the current album 4 out of 6 stars,d,d
set wakeup thursday 7 am,d,d
set the language,d,d
add the piano bar to my cindy wilson,d,d
add song to top 100 country tracks on spotify,d,d
find and play a concerto on zvooq from 1978 by ginger pooley,d,d
rate cousin bette 5 points,d,d
show me the nearest movie house showing the luckiest girl in the world,d,d
hello ana please book a restaurant,d,d
alexa touch sad girl summer on spotify,d,d
please cancel all my policies,d,d
play a twenties tune by jodie aysha,d,d
olly play music from my fav pianist,d,d
ana heat up the room please,d,d
cross out bread from shopping list,d,d
rate the beggar of volubilis 1 out of 6,d,d
switch on radio,d,d
please check for new emails,d,d
tell me about my payment history,d,d
play punk rock music,d,d
cook the steak well done,d,d
add falling upstairs to the playlist named chill out,d,d
book the mustard seed in turks and caicos islands for 9 people,d,d
use separate chopping boards for preparing raw meatpoultry and vegetables,d,d
please remove me from your mailing list,d,d
book a meeting with chelsea ,d,d
give private games 3 stars out of 6,d,d
olly pause for ten seconds,d,d
show me the song spiderman of the rings,d,d
please assist in getting a copy of my policy documents,d,d
change the language,d,d
dismiss my next event,d,d
find the schedule for across the line at the closest movie house,d,d
make the music louder,d,d
please stop contacting me,d,d
find a novel called east liberty,d,d
please get seating at bouchon in tonga for jimmie and chasity howard,d,d
turn down the temperature,d,d
book john pearson soda works restaurant on 7272036,d,d
send my life insurance policy money to my bank account,d,d
put a spin on presentations,d,d
tell me some joke,d,d
mira tell me a dinosaur joke,d,d
mira tell me a joke,d,d
crack the game,d,d
rate this essay a two out of 6,d,d
delete the first item on the list,d,d
please help me with removing a lineholder today,d,d
open fadl shaker on spotify and play a melody starting with the newest,d,d
play geddy lee music on spotify sort by top,d,d
get me the elvis christmas album tv show,d,d
rate the current essay a three points,d,d
book seven in neighboring moorpark,d,d
please send me current copy of insurance policy,d,d
give my current book one of 6 stars,d,d
tell me the address to send my payments,d,d
please tell me about my ranch policy i cant see it,d,d
hey siri create a task,d,d
please help me understand my policy coverage,d,d
use oil in the pan,d,d
remind me daily at 11 am for meeting with boss,d,d
play solange 2016 album,d,d
show movie times for movies in the area,d,d
shut up,d,d
please get me a copy of my insurance declaration page,d,d
paint the house white,d,d
remove my accidental payment,d,d
alexa find lights will guide you home from cold play,d,d
email to matthew with content project finished send me invoice please ,d,d
shop for grocery store baked goods early in the day,d,d
book a training ticket from baltimore maryland to new york new york,d,d
tell me when there will be a snowstorm in clifton forge,d,d
play print the legend soundtrack,d,d
rate cotton comes to harlem a 2,d,d
add i pledge allegiance to the grind to my sinfonna hipster playlist,d,d
give 5 points to the deathlord of ixia,d,d
add no prejudice to 90s indie,d,d
add rosemary clooney to pura vida playlist,d,d
play the eternal by juju mob on vimeo,d,d
tell me todays date,d,d
please cancel all policies i have with you,d,d
please add a new email address to my account,d,d
put edwyn collins onto my trabajo relax playlist,d,d
add nana kitade to my modern psychedelia playlist,d,d
please terminate my policy,d,d
announce a comment in facebook,d,d
please adjust my bill,d,d
book a restaurant for 3 people at eighteen oclock in saint vincent and the grenadines,d,d
generate a new inventory,d,d
book a table at a french restaurant for fern and i,d,d
okay google assistant play rockpaperscissors,d,d
remind me tomorrow at 4 about an event,d,d
play my piano ballads playlist,d,d
olly book me a taxi to leith in half an hour,d,d
switch the language,d,d
play some music on slacker,d,d
please add this this tune to the playlist this is selena,d,d
switch languages,d,d
set an event for friday,d,d
hi ana tell me my forgotten password,d,d
use a strong cloth for the beanbags,d,d
show restaurant order status,d,d
rate the saint in trouble 1 of 6,d,d
show me resources about treatments,d,d
please show me how to transfer a balance to a different account,d,d
add an album to my playlist bachata lovers,d,d
add this song to brooklyn beat,d,d
tell me about the weather,d,d
set a meeting with hongbin,d,d
suprise me,d,d
create the side frame,d,d
rate this novel five of 6,d,d
add bonga to the black sabbath the dio years playlist,d,d
play a 1999 track by pete seeger on youtube,d,d
add the crabfish to my playlist called the sleep machine rainforest,d,d
rate the current book a three,d,d
give the current book 4 stars,d,d
please give me a discount,d,d
play music from carina round,d,d
okay google assistant remember to call mom every sunday,d,d
show me resources about blogs,d,d
add dwele to marguerite s eurovision 2016 playlist,d,d
show me resources about mental health in general,d,d
show the movie schedules at united paramount theatres,d,d
please start again my lapsed policies,d,d
book the city tavern in holiday ks,d,d
whisper when you tell me that,d,d
find me a table for 8 people at a nearby al restaurant one minute from now,d,d
give me a list of all my reminders,d,d
please provide me the email address of the billing department,d,d
get me my shoes,d,d
look for examples in the real world,d,d
find the game just dance greatest hits,d,d
turn on bluetooth,d,d
look for a job,d,d
rate the beyond black saga a one,d,d
boil the turkey in vinegar,d,d
play music,d,d
play the top of emil de cou,d,d
alexa start spotify,d,d
play a sound track by tom thacker,d,d
find bal ganesh 2 a video game,d,d
add reminder today evening to collect the parcel from jakes bristo,d,d
find me showtimes for animated movies in the neighbourhood,d,d
find a reservation at the roseland theater at 10 pm,d,d
rate the removers 4 out of 6,d,d
tell me how to make garlic bread ,d,d
book a table in arizona serving italianamerican cuisine in a tavern for 2,d,d
put the charged battery inside the battery holder,d,d
please resume my old policy,d,d
decrease the volume,d,d
show me the schedule for the oblong box,d,d
post on my fb account that i got engaged,d,d
schedule my first appointment online,d,d
play the song shine a light,d,d
find the document called google,d,d
please remove mr sam from my auto policy,d,d
play something by the band blur,d,d
please let me talk to a rep,d,d
find the movie everywhere but home,d,d
show me the trailer,d,d
rate the manxman 5 out of 6,d,d
decrease the heating,d,d
play the best becca,d,d
play songs by sarah harding,d,d
turn down the heat in the bathroom,d,d
please help me figure out my policy,d,d
add sam sparro to my playlist called beach vibes,d,d
add mg the visionary to my dubstep playlist,d,d
play something by la lupe,d,d
hi add a tom thacker tune to my rock classics,d,d
find drumline a new beat a picture,d,d
mix flour and waters,d,d
tell me whats going on with my claim,d,d
give me the showtimes for the rum diary at mjr theatres at meal time,d,d
call me maybe,d,d
yes continue where i left off for my order for sandwiches please,d,d
please provide your fax number to send my accident pictures,d,d
rate the ultimate revelations saga four,d,d
play me a nineties sound track,d,d
please advice me the policy insted of lapsed,d,d
find the painting the adventures of teddy ruxpin,d,d
play music from etype,d,d
find animated movies nearest at a movie house,d,d
play twenties music off of my itunes,d,d
free up my schedule for the next week,d,d
find a picture called every little thing she does is magic,d,d
please play next song,d,d
tell me when it will be chilly in chicken united kingdom,d,d
use iheart to listen to retro,d,d
find movie schedules for nearby films,d,d
add this song to my favorite list,d,d
start a vacuum cleaner,d,d
add connee boswell to the relaxing playlist,d,d
open groove shark and play sound track from dj cameo,d,d
rate definitely dead saga 5 points out of 6,d,d
tell me how to go paperless,d,d
please find the movie boss baby within 10 minutes of my location in wilmer alabama around 700 pm,d,d
decrease brightness,d,d
please remove the lienholder from my car policy,d,d
save settings,d,d
get the flag quickly,d,d
please play a movement from george formby jr,d,d
remove item 4,d,d
set a repeating alarm for weekdays at 9am,d,d
turn on the lights in the bedroom,d,d
make me laugh ,d,d
give me a list of lists,d,d
pass the bowl of potatoes,d,d
rate doom 3 worlds on fire a 1 of 6,d,d
please tell me how to get a new proof of insurance card,d,d
move this tune by hironobu kageyama to my baila reggaeton playlist,d,d
remind me at 6 about the meeting at 7,d,d
play hurts like heaven ,d,d
turn up the temperature,d,d
tell me how to set up auto payment for my life insurance policy,d,d
hi siri lend me a dollar,d,d
tell me how to cancel an insurance policy,d,d
go get the newspaper,d,d
please list all the companies in your group,d,d
please help me restart my policy as it has been canceled,d,d
please remove the past lienholder from my auto insurance policy,d,d
give 5 out of 6 stars to coming home,d,d
play pride of the prairie from johnny burke,d,d
please search the an introduction to karl marx painting,d,d
switch on the lights in the kitchen,d,d
schedule 30 minutes of strength training exercise at least three times per week,d,d
add meeting reminder for sunday with my parents in law,d,d
play ep by arjen anthony lucassen,d,d
put a xiang xiang track onto women of the blues,d,d
add joe mcphee to my picnic in the park play list,d,d
book me a ticket for a train to new york from boston in two days from now,d,d
make me a reservation in tn somewhere nearby for a party of 4,d,d
tell me the weather forecast for here,d,d
show the three tales album,d,d
tell me your age,d,d
play signe anderson chant music that is newest,d,d
rate the firebrand one of 6 stars,d,d
give me the forecast for here on february the sixteenth 2022,d,d
clean the floor please,d,d
stop giving me the creeps,d,d
please check whether i am coming under emergency roadside service,d,d
put paula abdul on musica espanola 2017,d,d
book a restaurant for eight people in six years,d,d
please tidy the room,d,d
assistant name set a sleep timer for 4 hours,d,d
ana turn bathroom heat up,d,d
tell me some business news,d,d
find bullet and a target a television show,d,d
add a track to my classical feast playlist,d,d
tell me how to log out of my account,d,d
play adieu by al arsenault,d,d
please change beneficiary of my life insurance,d,d
rate this series two of 6,d,d
decrease the heating in the bedroom,d,d
please tell me how can i update my contact info on my life policy,d,d
book a restaurant for 7 people,d,d
play music by paul mccartney,d,d
find the schedule for the nightmare six hours from now at the nearest cinema,d,d
